Scenario;ID;Slice;pri;Capacity; VID; LVD; FDO; SSH; VIP; cVP; cF; cLV ;cAVG;;;;;;
S11;9;8;3;0.3;97.03703703703704;45.94594594594595;100.0;98.6;95.41;0;0;0;0;;;;;;
S11;9;8;3;0.4;0.0;24.324324324324326;100.0;93.6;30.25;0;0;0;0;;;;;;
S11;9;8;3;0.8;0.0;0.0;80.0;14.3;0.0;0;0;0;0;;;;;;
S12-DC1-TC1-DN1-TN1;10;4;3;1;0;0;0;0;0;0;0;0;0;;;;;;
S12;10;4;3;0.05;100;100;100;100;97.59;95.09;75;100;90.03;;;;;;
S12;10;4;3;0.1;100;100;100;99.8;95.69;0;0;22.2;7.4;;;;;;
S12;10;4;3;0.0;100;100;100;100;100;100;100;100;100;;;;;;
S12;10;4;3;0.2;100;100;100;97.4;97.39;0;0;0;0;;;;;;
S12;10;4;3;0.3;88.1;100;100;93.5;95.90;0;0;0;0;;;;;;
S12;10;4;3;0.4;0;100;100;80.6;73.07;0;0;0;0;;;;;;
S12;10;4;3;0.8;0;24.3;0;0;0;0;0;0;0;;;;;;
