scenario, hostVID, hostLVD, hostFDO, hostSSH, hostVIP, hostcVP, hostcF, hostcLV 
S11sli8_3prio100,0.0,0.0,0.0,100.0,41.42857142857143,33.0,0.0,0.0,
S12sli4_3prio5,100.0,100.0,100.0,100.0,100.0,55.00000000000001,75.0,100.0,
S12sli4_3prio10,100.0,100.0,100.0,100.0,100.0,46.0,0.0,22.22222222222222,
S12sli4_3prio20,100.0,100.0,100.0,100.0,100.0,39.0,0.0,0.0,
S12sli4_3prio30,88.14814814814815,100.0,100.0,100.0,96.0,37.0,0.0,0.0,
S12sli4_3prio40,0.0,100.0,100.0,100.0,37.42857142857143,44.0,0.0,0.0,
S12sli4_3prio80,0.0,24.324324324324326,0.0,100.0,43.42857142857143,42.0,0.0,0.0,
S12sli4_3prio100,0.0,0.0,0.0,100.0,40.57142857142857,35.0,0.0,0.0,
S4sli2noGuaranteesV2Fix100,0.0,0.0,0.0,100.0,40.85714285714286,43.0,0.0,0.0,
S4sli2noGuaranteesV2Fix80,0.0,29.72972972972973,0.0,100.0,41.14285714285714,41.0,0.0,0.0,
S4sli2noGuaranteesV2Fix40,12.592592592592592,100.0,100.0,100.0,41.14285714285714,43.0,0.0,0.0,
S4sli2noGuaranteesV2Fix30,88.88888888888889,100.0,100.0,100.0,42.285714285714285,38.0,0.0,0.0,
S4sli2noGuaranteesV2Fix20,100.0,100.0,100.0,100.0,44.285714285714285,38.0,0.0,0.0,
S4sli2noGuaranteesV2Fix10,100.0,100.0,100.0,100.0,100.0,36.0,0.0,16.666666666666664,
S4sli2noGuaranteesV2Fix5,100.0,100.0,100.0,100.0,100.0,40.0,80.0,100.0,
S3sli8noGuaranteesV25,100.0,100.0,100.0,100.0,100.0,43.0,100.0,22.22222222222222,
S1NoDisNew,0.0,0.0,0.0,100.0,36.285714285714285,37.0,0.0,0.0,
S3sli8noGuaranteesV210,100.0,100.0,100.0,100.0,100.0,35.0,50.0,0.0,
S3sli8noGuaranteesV220,100.0,100.0,100.0,100.0,100.0,47.0,0.0,0.0,
S3sli8noGuaranteesV230,97.03703703703704,43.24324324324324,100.0,100.0,99.42857142857143,41.0,0.0,0.0,
S3sli8noGuaranteesV240,1.4814814814814816,24.324324324324326,100.0,100.0,44.0,37.0,0.0,0.0,
S3sli8noGuaranteesV280,0.0,0.0,80.0,100.0,39.714285714285715,28.000000000000004,0.0,0.0,
S3sli8noGuaranteesV2100,0.0,0.0,0.0,100.0,40.57142857142857,41.0,0.0,0.0,
S4sli2noGuaranteesV2Fix5,100.0,100.0,100.0,100.0,100.0,40.0,80.0,100.0,
